Security Name,Symbol,Last Price,Lot size
Ayala Corporation,AC,914,10
"Aboitiz Equity Venture, Inc.",AEV,52.9,10
"Alliance Global Group, Inc.",AGI,12.3,100
Aboitz Power Corporation,AP,36.75,100
"BDO Unibank, Inc.",BDO,144.4,10
